,compound_id,docking_score,rdkit_smiles,rank
27720,CPD001931413,-5.408,O=C(c1ccc(-n2cccn2)cc1)N1CCCC1c1ccc2c(c1)OCCCO2,27717.5
71946,CPD002484654,-4.115,CCCCc1ccc(NC(=O)N2CCN(Cc3ccc(Cl)s3)CC2)cc1,71943.0
14829,CPD002367698,-5.909,CC(=O)Nc1nc2ccc(CC(=O)N3CCN(c4ccccc4F)CC3)cc2s1,14835.5
55698,CPD002436896,-4.655,CSc1ccc(-c2nc3cnccn3c2NC2CCCCC2)cc1,55702.0
48450,CPD002376310,-4.847,CCCCOc1ccc(NC(=O)CC)c2cccnc12,48445.5
39256,CPD000709206,-5.084,COc1ccc(NS(=O)(=O)c2cccc(C(=O)NCCCN3CCOCC3)c2)cc1,39247.0
1209,CPD002489101,-8.599,COc1ccc2c(c1)c(C(C(=O)O)N1CCN(CCC#N)CC1)cn2CCC(=O)O,1209.5
46453,CPD002499829,-4.897,N#Cc1ccc(Cl)cc1NC(=S)NCCc1ccccc1,46448.5
63316,CPD002414183,-4.435,Cc1ccc(C(=O)NN=C(S)NC(C)(C)C)cc1,63323.5
23081,CPD000651845,-5.564,Cc1nc2c(sc(=S)n2Cc2ccco2)c(=O)n1CC(=O)Nc1ccccc1,23072.0
70177,CPD002415240,-4.193,CCOc1ccc(C=NOCc2c(Cl)cccc2Cl)cc1OC,70187.0
36534,CPD000128222,-5.153,CN(CC(=O)NCCN1CCN(c2ccccc2)CC1)S(=O)(=O)c1ccc2c(c1)CCC(=O)N2,36535.0
8640,CPD002403291,-6.358,O=C(NCCC(=O)N1CCN(c2ncccn2)CC1)c1ccc(Cl)cc1,8641.5
28771,CPD000679649,-5.376,CC(C)(C)NC(=O)c1cc(-c2ccc3c(c2)OCO3)nc2ccccc12,28759.0
46393,CPD002397205,-4.899,Cc1nnc(SCc2nc3ccccc3o2)n1-c1ccccc1,46379.0
4815,CPD002397026,-7.042,Cc1ccc(-c2csc(NC(=O)c3cc(=O)c4ccccc4o3)n2)cc1C,4816.0
76333,CPD002367160,-3.865,O=C(Nc1ccc(F)c(Cl)c1)C1CCCN(c2ncnc3onc(-c4ccc(F)cc4)c23)C1,76330.5
28646,CPD002499592,-5.379,C[C@H]1O[C@@H](O[C@H]2CC[C@]3(C=O)[C@H]4CC[C@]5(C)[C@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)C[C@H](O)[C@@H]1O,28662.0
82286,CPD001240218,-2.839,COc1ccc(NS(=O)(=O)c2cc(NC(=O)c3ccc(O)nn3)ccc2N2CCOCC2)cc1,82286.0
45196,CPD000621076,-4.928,CCOC(=O)C1CCN(C(=O)CNC(=O)c2nn(-c3ccc(OC)cc3)c(=O)c3ccccc23)CC1,45196.0
74655,CPD000281473,-3.976,COc1ccc(C2Nc3ccccc3C(=O)N2c2ccccc2)cc1CN1CCOCC1,74656.5
45102,CPD000282867,-4.93,CC1(C)CC(=O)C(C=NCCN2CCN(CC(=O)Nc3ccc(Cl)cc3)CC2)=C(O)C1,45113.5
13915,CPD000646326,-5.959,COc1ccc(CNC(=O)CCC(=O)N2C[C@H]3C[C@H](C2)c2cccc(=O)n2C3)cc1OC,13909.0
51301,CPD002484012,-4.773,COC(=O)C(NC(=O)c1ccccc1)(Nc1nc(C2CC2)cs1)C(F)(F)F,51298.5
40437,CPD002407807,-5.051,CCn1c(=O)c2c(nc(-n3nc(C)cc3C)n2CC)n(C)c1=O,40426.5
82168,CPD002444313,-2.91,C=CCOc1ccc(C(=O)Nc2ccc(C)c(C)c2)cc1,82167.0
23979,CPD001931521,-5.531,COc1ccc(C(=O)NCc2coc(-c3cccs3)n2)c(F)c1,23979.5
60621,CPD002437959,-4.515,COc1ccc2c(=O)c(Oc3ccccc3)c(C)oc2c1,60629.5
79524,CPD002396860,-3.558,CC(=O)N(c1cccc(C)c1)c1nc(CSc2nnc(C3CC3)n2C2CC2)cs1,79524.5
72800,CPD002396695,-4.075,Clc1cccc(-c2noc(CSc3nc4ccccc4o3)n2)c1,72808.0
78988,CPD000630237,-3.623,O=C(Cn1cc(S(=O)(=O)N2CCCC2)c(S(=O)(=O)N2CCCC2)c1)NCc1ccco1,78985.0
32736,CPD002129201,-5.258,CC(C)C[C@H](N)C(=O)N1CCC(C(=O)N[C@H](C(=O)NCc2ccc(F)cc2)C(C)C)CC1,32736.0
60987,CPD002374664,-4.505,CC(C)CCOc1ccc2c(-c3ccccc3)cc(=O)oc2c1,60990.0
778,CPD002435961,-8.867,O=C(O)COc1ccc2c(=O)c(-c3ccccc3)coc2c1,778.5
55361,CPD002453048,-4.664,CCC(=O)c1cc2c(cc1NC(=O)c1ccco1)OCCO2,55375.5
24486,CPD002444335,-5.514,COc1ccc(C(=O)ON=C2CCCCC2)cc1Br,24493.5
70401,CPD002433632,-4.185,CCOC(=O)CN1CCCC1c1ccsc1,70397.0
6253,CPD000005325,-6.698,Cc1occc1-c1nnc(SCC(=O)N2CCc3ccccc32)o1,6254.0
51622,CPD000013038,-4.765,CCOCCn1c(N2CCN(c3ccc(OC)cc3)CC2)nc2c1c(=O)[nH]c(=O)n2C,51632.5
63461,CPD002394701,-4.431,Cc1cc(C)n2nc(SC(C)C(=O)Nc3c(Cl)cc(Cl)cc3Cl)nc2n1,63454.5
51927,CPD002413439,-4.758,CC(C)N=C(S)NN=C1CCC(C(C)(C)C)CC1,51917.5
51737,CPD002372586,-4.762,COc1ccc(-n2c(=O)c3c(n4cnnc24)-c2ccccc2CC32CCCC2)cc1,51758.0
73282,CPD000365233,-4.051,Cc1noc(C)c1C(=O)N1CCN(S(=O)(=O)c2cccc(Cl)c2Cl)CC1,73273.5
79981,CPD002418242,-3.499,COCCNC(=O)NC(=O)CN(Cc1ccccc1)c1ccc(C)cc1,79980.5
45265,CPD000705779,-4.926,O=C(Nc1ccccc1N1CCCC1)C1CCN(C(=O)c2ccc(Cl)cc2)CC1,45279.5
14900,CPD002488413,-5.906,O=C(Cn1ccc2ccc(Cl)cc21)Nc1ccc2[nH]ccc2c1,14907.0
51660,CPD000174168,-4.764,CN1CCN(c2ccc([N+](=O)[O-])c3cccnc23)CC1,51675.5
22470,CPD000312003,-5.586,Cn1c(=O)c(-c2ccccc2)c(O)c2ccccc21,22462.5
38189,CPD002408219,-5.111,Fc1ccc(-c2nc(CSc3nnc[nH]3)co2)cc1,38197.5
76456,CPD002489152,-3.856,Cc1nc(NCCC(C)C)sc1C(=O)NC1CC1,76456.5
60573,CPD002486323,-4.517,Cc1nc2nc(C(F)(F)F)nn2c(O)c1Cc1cccc(Cl)c1,60565.5
18885,CPD000606431,-5.723,Cn1c(CC(=O)Nc2ccccc2F)nnc1SCC(=O)NC1=NCCS1,18871.0
47711,CPD002427552,-4.866,CCC(NC(=O)c1ccc(N(C)C)cc1)c1ccc(C)cc1,47732.5
45869,CPD000710125,-4.911,O=C(c1ccc(-n2cncn2)c([N+](=O)[O-])c1)N1CCN(c2cccc(Cl)c2)CC1,45890.0
78219,CPD000011578,-3.703,Cc1nn(C)c(C)c1CN(C)C(=O)c1cnn2c1NC(c1ccccc1)CC2C(F)(F)F,78216.0
4763,CPD002489508,-7.055,COc1cccc(C(=O)NCCCNC(=O)c2nc(O)c3ccccc3n2)c1,4764.0
443,CPD002484856,-9.149,CC(C)n1cc2c(C(F)(F)F)cc(=O)n(CCC(=O)O)c2n1,444.5
30709,CPD002369279,-5.316,O=S(=O)(Nc1ccc(F)cc1)c1ccc(-c2cnc(C3CC3)o2)cc1,30702.5
49055,CPD002484551,-4.832,COc1ccc(OC)c(NC(=O)Nc2ccc(CN3CCOCC3)cc2)c1,49039.5
59644,CPD002396573,-4.544,COC(=O)c1cc(-c2cccnc2)nc2onc(-c3ccc(C)cc3)c12,59654.0
82224,CPD002411724,-2.878,CC(C)NC(=O)NC(=O)C(C)N(C)Cc1ccccc1,82225.5
57849,CPD002500095,-4.595,COC(=O)c1cc(-c2ccc(F)cc2)nc2onc(C)c12,57840.0
23674,CPD000708138,-5.542,COc1ccc(N2CCN(C(=O)COC(=O)CNC(=O)c3ccccc3)CC2)cc1,23678.5
18110,CPD002398561,-5.756,COc1ccccc1NC(=O)c1cc2ccccc2cc1OCC(N)=O,18122.0
77806,CPD002453944,-3.743,COc1ccccc1-c1c(C(F)(F)F)oc2cc(OC(=O)C3CC3)ccc2c1=O,77802.5
13299,CPD002376479,-5.995,CCc1ccc2oc(C(=O)NCC(c3ccco3)N3CCCC3)cc(=O)c2c1,13295.5
34778,CPD002427673,-5.202,Cc1cc(C)c(C)c(OCCCN)c1,34766.5
45997,CPD002396924,-4.909,CCCn1nnc(NC(=O)COc2ccc(C(C)CC)cc2)n1,45981.5
77017,CPD002364206,-3.814,C(=C1CC(=Cn2c3ccccc3c3ccccc32)C1)n1c2ccccc2c2ccccc21,77010.0
80564,CPD002454166,-3.401,COc1cc(OC)c(C2C3=C(CC(C)(C)CC3=O)Nc3ccccc3N2C(C)=O)cc1OC,80564.0
33938,CPD002375251,-5.224,Clc1cccc(Cn2c(-c3cncs3)nc3ccccc32)c1,33945.0
47631,CPD002456326,-4.868,COc1cc(NC(=O)C2c3ccccc3Oc3ccccc32)c(OC)cc1Cl,47654.5
80735,CPD002435839,-3.365,COc1ccc(-c2c(C)c3ccc(OC(=O)C(C)C)cc3oc2=O)cc1OC,80735.0
51264,CPD002443892,-4.774,S=C(NCc1ccccc1Cl)Nc1ccccc1,51264.5
28778,CPD002488181,-5.375,Cc1nn(-c2ncccn2)c2c1C(c1ccc(OCC(C)C)cc1)CC(O)=N2,28797.5
65755,CPD002376834,-4.358,Cc1cc(C)cc(NC(=O)Cn2ccn(-c3ccc(F)c(F)c3)c(=O)c2=O)c1,65756.0
79882,CPD002407849,-3.512,N#Cc1cn(C2CC2)c(=O)n(Cc2coc(-c3cccc(Cl)c3)n2)c1=O,79883.0
22729,CPD001609014,-5.576,CCOc1cccc(C(=O)N(Cc2ccc(F)cc2)c2ccccn2)c1,22730.0
76879,CPD002427376,-3.825,CC1CCCCC1NC(=S)NCC(C)(C)N1CCOCC1,76874.0
7039,CPD000046985,-6.562,Cc1nc(C)c(C(=O)C2=C(O)C(=O)N(CCN3CCOCC3)C2c2ccco2)s1,7040.0
43739,CPD002409650,-4.964,Cc1ccc(S(=O)(=O)N(Cc2cccnc2)C2CC2)cc1F,43745.5
45783,CPD002368689,-4.914,Cc1ccc(C)c(N2CCN(C(=O)CCS(=O)(=O)c3cc4c5c(c3)CCN5C(=O)CC4)CC2)c1,45772.0
18930,CPD002418556,-5.721,CCOCCCNC(=O)/C(C#N)=C\c1ccc(NC(C)=O)cc1,18930.0
37146,CPD000311945,-5.137,CCN(CC)CCN(C)c1ccc(N2C(=O)C3CC=CCC3C2=O)cc1[N+](=O)[O-],37167.5
69533,CPD001856238,-4.219,CC(C)n1ncc2cc(C(=O)NCc3ccc(OC(F)F)cc3)cnc21,69530.0
51130,CPD002366995,-4.777,Cc1ccc(Nc2nc(NCCc3ccccc3)nc3c2cnn3C)cc1C,51142.0
34327,CPD002456340,-5.213,CCn1cc(CNC(=O)Nc2ccc(Cl)c(Cl)c2)c(C)n1,34341.5
45704,CPD002372066,-4.916,Cc1ccc2c(=O)c(-c3nc(-c4ccccc4C)no3)cn(CC(=O)NCc3cccs3)c2n1,45694.0
71547,CPD001553529,-4.134,COc1ccc(S(=O)(=O)N2CCN(c3ccc(C)c(Cl)c3)CC2)c2ccccc12,71546.5
18988,CPD002486026,-5.719,CCCc1cc(=O)oc2cc(OC(C)C(=O)NCc3cccnc3)c(Cl)cc12,18982.5
4508,CPD002411502,-7.142,CCCCCn1nc(C(=O)N(Cc2ccc(F)cc2)C2CC2)c2ccccc2c1=O,4507.5
66807,CPD002499668,-4.321,Brc1cccc(-c2noc(-c3cnccn3)n2)c1,66819.0
71144,CPD002413189,-4.152,O=C(OCC1(COC(=O)c2ccccc2)CCC(COC(=O)c2ccccc2)(COC(=O)c2ccccc2)C1=O)c1ccccc1,71138.0
82799,CPD001244069,-2.35,CN(C)S(=O)(=O)c1ccc(C(=O)N2CCN(S(=O)(=O)c3ccc4c(c3)OCCO4)CC2)cc1,82799.0
24166,CPD000710483,-5.525,CC(=O)c1c(C)[nH]c(C(=O)CN2C(=O)NC(C)(c3ccc4c(c3)OCCO4)C2=O)c1C,24161.5
74227,CPD000076527,-4.0,CCOc1cc(C(=S)N2CCN(C)CC2)ccc1OCC(=O)N1CCOCC1,74228.0
69415,CPD001480635,-4.224,COC(=O)c1ccc(COc2ccccc2Br)cc1,69417.5
22006,CPD002486116,-5.603,COc1ccc(C(=O)Nc2oc3ccccc3c(=O)c2-c2cccc(C)c2)cc1,22014.5
62125,CPD002368170,-4.472,CCCNC(=O)Nc1ccc(-c2noc(-c3ccco3)n2)cc1,62125.0
34136,CPD002396628,-5.219,Cc1cc(C)c(S(=O)(=O)N2CCN(Cc3coc(-c4cccs4)n3)CC2)c(C)c1,34139.0
10170,CPD002442284,-6.215,CC(N)Cc1c[nH]c2ccccc12,10163.0
4122,CPD002417138,-7.297,CCN(CC)S(=O)(=O)c1ccc(NS(=O)(=O)c2cccc(C(=O)O)c2)cc1,4121.5
62697,CPD000438186,-4.455,Cc1cc(C)c2c(CN3CCOCC3)cc(=O)oc2c1,62699.0
23341,CPD002453045,-5.554,CC(=O)Nc1ccc(NC(=O)c2ccc(C)cc2Cl)cc1,23349.5
62506,CPD002412469,-4.461,Oc1c(Cl)cc(Cl)cc1C=Nc1cccc2ccccc12,62494.0
16693,CPD002407156,-5.821,COc1ccc(C(C)=O)cc1CSCc1coc(-c2ccc(C)cc2C)n1,16703.5
9402,CPD002402861,-6.281,Cc1ccc(-c2csc(NC(=O)c3ccc(Cl)c(N4CCCC4=O)c3)n2)cc1,9397.5
32561,CPD002486140,-5.263,Cc1ccc(-c2cc(C(=O)NCc3ccccc3)n[nH]2)c(O)c1C,32546.5
3213,CPD002428479,-7.716,O=C(O)CCOc1ccc(Br)cc1,3213.0
11606,CPD000001924,-6.103,O=C(CSc1nnc(CCc2nc3ccccc3[nH]2)n1-c1ccccc1)NCc1ccco1,11614.5
23280,CPD000042978,-5.556,Cn1c(N2CCC(C(N)=O)CC2)nc2c1c(=O)n(Cc1cccc(Br)c1)c(=O)n2C,23288.5
58610,CPD002434142,-4.573,CN1CCN(NC(=O)c2ccccc2Br)CC1,58616.0
70499,CPD002367040,-4.18,O=C(CCn1ccc2cc(S(=O)(=O)N3CCCCCC3)ccc21)N1CCC2(CC1)OCCO2,70506.5
4688,CPD002412034,-7.081,COc1ccc(CN(C(=O)c2ccc(Cl)cc2F)C2CC2)c(OC)c1,4688.5
57964,CPD002363929,-4.592,CCCCCCc1ccc(C(=O)Nc2cccc(C)c2)cc1,57961.0
20234,CPD002408746,-5.669,O=C(c1cc(-c2ccccc2)[nH]n1)N1CCN(c2ncccn2)CC1,20240.0
21583,CPD002413899,-5.618,O=C1CCCCC1Sc1nc2cc(Cl)ccc2s1,21589.5
37363,CPD000150369,-5.132,CSCCC(NS(=O)(=O)c1ccc(Cl)cc1)C(=O)OCC(=O)NC1CC1,37367.0
23108,CPD002371191,-5.563,CCOc1cc(C2CC(=O)Nc3c(-c4ccc(OC)cc4)csc32)ccc1OCC(N)=O,23106.0
8836,CPD002409079,-6.335,CC(=O)N1CCc2cc(C(=O)Nc3nc4ccccc4[nH]3)ccc21,8841.5
22380,CPD002395585,-5.589,Cc1cc(Br)ccc1NC(=O)CN(C)C(=O)c1cccc(-n2cccc2)c1,22389.5
74595,CPD002444824,-3.98,CCCCc1ccc(-c2ccc(C3CCC(CC)CC3)cc2)nc1,74589.0
35911,CPD000712060,-5.171,CCN(CC)CCNC(=O)c1ccc(NC(=O)c2cccc(-n3cnnn3)c2)cc1,35915.0
53006,CPD002408410,-4.729,CCc1cc(CC)n(-c2nc3c(c(=O)n(CCN4CCCCC4)c(=O)n3C)n2CC)n1,52992.0
30027,CPD002400625,-5.337,COc1ccc(OCCCC(=O)Nc2ccc3c(C)cc(=O)oc3c2)cc1,30019.5
72867,CPD002438801,-4.072,CNC(C)CC1CCCCC1,72871.0
17012,CPD002402967,-5.807,COc1ccc(C)cc1-n1nnnc1SCc1nc(CC(C)C)no1,17008.5
