,compound_id,rdkit_smiles,docking_score,rank
3013,CPD002403389,Cc1nc(N2C(=O)C(O)=C(C(=O)c3ccccc3)C2c2ccccc2F)sc1C,-6.601,5426.5
6768,CPD000605714,CC(NC(=O)c1ccccc1F)c1nnc(SCC(=O)Nc2nccs2)n1C,-7.156,4745.5
7154,CPD002443459,COc1ccc(/C=C(\C#N)c2nc3ccccc3[nH]2)cc1I,-4.265,9821.0
2827,CPD002411240,Cc1cc(S(=O)(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)sc1C(=O)O,-6.94,5004.0
5146,CPD002368915,CCOC(=O)c1cc(-c2ccc(S(=O)(=O)Nc3c(C)cccc3C)s2)on1,-4.132,9971.5
1425,CPD002488069,CCOC(=O)N1CCN(C(C(=O)O)c2c[nH]c3ccc(C)cc23)CC1,-8.255,2478.0
2741,CPD002439412,O=C(O)CCCN1CCOCC1,-7.084,4830.5
5589,CPD001534539,O=C(O)c1cc(-c2ccc(F)cc2)on1,-8.035,3128.5
8185,CPD002418619,CCOC(=O)c1cc2cc(C(=O)O)ccc2[nH]1,-8.467,1928.0
8944,CPD000150447,O=C(O)CSC(c1ccccc1)c1ccc(Cl)cc1,-4.831,8744.5
927,CPD002397191,CCCCn1nc(C(=O)Nc2cc(C(=O)O)ccc2C)c2ccccc2c1=O,-8.602,1612.0
5523,CPD000469191,CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,-5.843,6602.5
6443,CPD002399186,COc1ccc(CNC(=O)Cc2nn(C)c(=O)c3ccccc23)cc1OC,-4.721,8999.5
300,CPD002246167,O=C(O)CCC(=O)Nc1ccc(S(=O)(=O)NCC(=O)c2ccccc2)cc1,-9.226,503.0
3641,CPD002427038,COC(=O)c1ccc(C)c(S(=O)(=O)Oc2ccc3ccc(=O)oc3c2)c1,-4.657,9139.0
5499,CPD002372718,CC(=O)c1cccc(Nc2nc(-c3ccc(C)cc3)nc3ccccc23)c1,-5.551,7161.5
801,CPD002490385,O=C(O)C(c1c[nH]c2cc(CO)ccc12)N1CCN(CCOc2ccc(Cl)cc2)CC1,-8.71,1383.5
7163,CPD002485700,Cc1ccc(Cl)cc1NC(=O)N[C@H](CC(C)C)C(=O)O,-4.771,8894.0
1133,CPD002484875,CCCn1cc2c(C(F)(F)F)cc(=O)n(CCC(=O)O)c2n1,-8.45,1974.5
1394,CPD002488159,O=C(O)C(c1c[nH]c2cc(OCc3ccccc3)ccc12)N1CCN(Cc2cccnc2)CC1,-8.276,2421.5
