,compound_id,rdkit_smiles,docking_score,rank
1186,CPD002489120,N#CCCN1CCN(C(C(=O)O)c2cn(CCC(=O)O)c3ccc(Br)cc23)CC1,-8.078,1292.5
3421,CPD002415058,O=C(O)/C=C/c1ccsc1,-4.356,6212.5
3535,CPD002406689,CN(C)S(=O)(=O)c1ccc(N2CCOCC2)c(C(=O)N2CCc3ccccc32)c1,-5.212,4511.0
5976,CPD000187075,COc1ccc(OC)c(C=NNC(=O)CSc2nnc(C)n2-c2ccccc2)c1,-5.155,4624.0
2401,CPD002155034,COc1cc(OC)c(C(=O)Nc2nnc(C(F)(F)F)s2)cc1OC,-6.188,2868.0
3011,CPD002414827,O=C(O)CCC(NS(=O)(=O)c1cccc(Cl)c1)C(=O)O,-5.294,4352.0
4725,CPD002416317,CCCOc1c(Br)cc(C(=O)OCC(=O)c2cc(C)c(C)cc2C)cc1OC,-3.977,6656.0
5228,CPD000132323,CCOC(=O)CNC(=O)CCNS(=O)(=O)c1ccc2c(c1)c(=O)n(C)c(=O)n2C,-3.952,6671.5
2762,CPD002487940,CN(C)CCNC(C(=O)O)c1c[nH]c2cc(F)ccc12,-5.671,3618.5
6732,CPD002399753,COCCn1c(-n2nc(C)cc2C)nc2c1c(=O)n(Cc1ccc(OC)cc1)c(=O)n2C,-3.96,6666.5
675,CPD000606113,CCc1nnc(NC(=O)CSc2nnc(CNC(=O)c3ccccc3F)n2C)s1,-8.555,740.0
2487,CPD002415255,O=C(O)CNS(=O)(=O)c1ccc(Br)cc1,-6.08,3014.0
6146,CPD002441478,Sc1nc2cc(-c3ccccc3)ccc2s1,-7.936,1460.5
634,CPD000414325,Nc1c(C(=O)O)cccc1[N+](=O)[O-],-8.592,697.0
4084,CPD000652430,CC(C)C[C@H](NC(=O)N1c2ccccc2NC(=O)[C@@H]1C(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,-8.542,755.0
4649,CPD000631569,CCn1c(=O)c(CCC(=O)N2CCOCC2)c(C)c2c(C)nn(-c3ccccc3)c21,-5.131,4670.0
5314,CPD002401596,O=C(Nc1nc(-c2cc(F)ccc2F)cs1)c1ccc(Cl)c(N2CCCC2=O)c1,-6.106,2978.0
3808,CPD002436065,CCOC(=O)C1=C(CN2CCc3ccccc3C2)NC(=O)NC1c1ccc(CC)cc1,-4.908,5183.0
1737,CPD002415119,Cc1cc(C)cc(C(=O)NCC(=O)O)c1,-7.405,1902.0
6336,CPD002401750,CCc1[nH]c(C(=O)OCC(=O)NC2CCCC2)c(C)c1C(=O)OC,-3.789,6753.5
1871,CPD002440198,COc1ccc(-c2onc(C)c2-c2ccc(OC)c(OC)c2)c(O)c1,-7.115,2066.0
1027,CPD002488028,COc1ccc2[nH]cc(C(C(=O)O)N3CCN(Cc4cccc5ccccc45)CC3)c2c1,-8.206,1118.0
3945,CPD002401776,Cc1ccc(NC(=O)N(C)C(c2ccc(Cl)cc2)c2nccn2C)cc1,-4.635,5743.5
