,rdkit_smiles
69565,CC(C)(CNC(=O)C(Cl)(Cl)Cl)CNC(=O)C(Cl)(Cl)Cl
64756,CCCCCCCNC(=O)CCC(=O)NCCCOCCCC
47564,CCCNC(=O)NC(=O)CCl
66228,CCCCCCCC=NNC(=O)CCCCCCCCCCC
57605,O=C(O)COCCOCC(=O)O
53513,COC(=O)/C(C#N)=N\O
65764,CCCCCCS(=O)(=O)CCO
69337,CCCCCCCCS(=O)(=O)CCO
57826,CC(C)CCC(C)NC(=O)CCCNC(N)=O
69328,CCCCS(=O)(=O)CC(=O)O
52079,CCCCCCCCCCCCSCCC(N)=O
64848,CCCCCCCNC(=O)CCC(=O)NCCOC
65589,CCCCCCCC[S+]([O-])CCCCC(=O)OCC
55534,CC(Cl)C(=O)NC(C)(C)C
52784,CCOC(=O)C(C(=O)OCC)C(NC(C)=O)C(Cl)(Cl)Cl
54915,CCCC[N+](CCCC)(CCCC)CCCC
72871,CCC(CO)NCCNC(CC)CO
57444,CCN(CC)S(=O)(=O)NCCNS(=O)(=O)N(CC)CC
61008,CCN(CC)C(=S)SC(C(=O)NC(N)=O)C(C)C
65582,CCCCCCCCSCCCCCCCO
47733,CN(C)CCOC(=O)NCCCCNC(=O)OCCN(C)C
47884,CN(C)CCOC(=O)CCCCCCCCC(=O)OCCN(C)C
53120,CNC(=O)NC(=O)C(C)Cl
66229,CCCCC=NNC(=O)CCCCCCCCCCC
74067,Cc1ccc(S(=O)(=O)N2CCN(S(=O)(=O)N3CCOCC3)CC2)c(C)c1
50897,CC(C)(C)C(CCC(=O)O)CC(=O)O
64003,C=CCNC(=O)COCC(=O)O
65881,CCOC(=O)CNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)NCC(=O)OCC
64767,CCCCOCCCNC(=O)CCC(=O)NC(C)(C)C
68350,CCOC(=O)C(CCC#N)(NC(C)=O)C(=O)OCC
64782,CCCCOCCCNC(=O)CCC(=O)O
52823,CC(C)CC(NC(N)=O)C(=O)O
69352,CCCCCCCCCCCCSCCO
47093,CCOC(=O)CC1(N)CCCCC1
59226,CCS(=O)(=O)CC(=O)O
54760,CCOC(=O)CSC(=S)N(C)C
64480,CC(C)CCCNCCNC(=O)C=NO
10864,Cc1cc(C)c(S(=O)(=O)N2CCN(c3ccc(N4CCCCC4)nn3)CC2)cc1C
50220,COC(=O)/C(=C\C=C\C=C\N(C)C)C(C)=O
49448,O=C(O)CCCCCCCCCCO
66593,CC(C)C(=O)NCC(=O)O
66027,O=C(O)CCC(CC(=O)O)C(=O)O
70492,CC(C)(C)CC(=O)NCCCCNC(=O)CC(C)(C)C
71008,CCCCCCCCS(=O)(=O)CCCCCCC(=O)O
65588,CCCCCCCCS(=O)(=O)CCCCC(=O)O
64432,CC(C)CC(=O)NN
47137,CCS(=O)(=O)CCSC(C)C(=O)O
63277,CN(C)C(=O)CO
47464,CC(C)C=NNC(=O)CCCCC(=O)NN=CC(C)C
69865,C[N+](C)(C)CCOC(=O)CCC(=O)O
55809,CC(C)CNC(=O)NC(=O)C(C)Cl
54552,CC(C)(C)OC(=O)NC(CC(N)=O)C(=O)O
64605,COC(=O)C(CC(CC(C(=O)OC)C(=O)OC)(C(=O)OC)C(=O)OC)C(=O)OC
56412,CN(CC(=O)NC(C)(C)C)C(=O)CCl
64539,OCCCCCCCCCCCCCCCO
59833,CCS(=O)(=O)NCCC(=O)O
71181,CC(C)(CNC(=O)C(C)(C)C)CNC(=O)C(C)(C)C
58714,CC(C)CCNC(=O)C(NC(N)=O)C(C)C
68028,CC(C)C(=O)N(C)N(C)C(=O)C(C)C
60448,CCCCNC(=O)NCC(=O)NCCC
30527,Cc1c(Cl)ccc(S(=O)(=O)N2CCC(C(=O)O)CC2)c1Cl
53877,NC(=O)NCCC(=O)O
68341,CC(C)C(=O)NC(NC(C)(C)C)C(Cl)(Cl)Cl
50672,C=CC[N+](CC#CCO)(CCCC)CCCC
75520,CCC(C)C(NS(=O)(=O)c1ccc(C)cc1)C(=O)O
65730,CCS(=O)(=O)CCSCCS(=O)(=O)CC
64412,CC(C)(C)NC(=O)C(F)(F)C(F)(F)C(=O)NC(C)(C)C
68617,CCCCNC(=O)C1CCC(C(=O)NCCCC)CC1
49538,CC(=O)N[C@@H](C=O)[C@@H](O)[C@H](O)[C@H](O)CO
48540,CCCCNC(=S)NCCCC
53512,COCCNC(=O)NC(=O)CCl
57586,CCS(=O)(=O)NC(C)C(=O)O
71015,CCCCS(=O)(=O)CCSCCO
69847,CCCCCC[N+](C)(C)CCCCCCCCCC[N+](C)(C)CCCCCC
64846,COC(=O)C1(C(=O)OC)CC(C(=O)OC)(C(=O)OC)C(C(=O)OC)(C(=O)OC)C1
54455,CCOC(=O)C(C(=O)OCC)C(NC(=O)OC)C(Cl)(Cl)Cl
47592,CC(C)CCNC(=O)NC(=O)CCl
17743,O=C(O)C1CCN(S(=O)(=O)c2cc(Cl)ccc2Cl)CC1
52667,CC(=O)NC(NC(C)=O)C(Cl)Cl
47877,CCCCOCCCNC(=O)N[C@H](C(=O)O)C(C)CC
62696,CCCCNC(=O)NCCN(C)C
54759,COC(=O)NC(NC(=O)OC)C(Cl)Cl
76651,CNCC(O)C(O)C(O)C(O)CO
66242,C=CCS(=O)(=O)O
69628,CCN=C(S)NNC(=O)C(C)(C)O
65581,CCCCCCCCCCS(=O)(=O)CCCCCl
65302,CCCCCCCCS(=O)(=O)CCCCCl
49455,O=C(O)CCC(=O)C(=O)O
62690,CCCNC(=O)NCCN(C)C
50221,COC(=O)/C(=C\C(C#N)=C/N(C)C)C(C)=O
58630,CCOC(=O)CCCCCCN
51131,CCCCCCCCS(=O)(=O)CCSC(=N)N
69316,CCCCCCCCCCS(=O)(=O)CCSC(=N)N
19651,Cc1cc(S(=O)(=O)N2CCN(C)CC2)c(C)cc1Cl
53701,CCCCS(=O)(=O)NC(C)C(=O)O
