,ID,smiles,score,rdkit_smiles
32,2500123,Cc1oc(nc1CN1CCC(CC1)C(=O)NCCCN1CCCC1)-c1ccccc1C,-3.457,Cc1ccccc1-c1nc(CN2CCC(C(=O)NCCCN3CCCC3)CC2)c(C)o1
33,2559535,O=C(NCCCNC(=O)C1CC1)C1CC1,-5.782,O=C(NCCCNC(=O)C1CC1)C1CC1
34,2505464,CC(C)[C@H](NS(=O)(=O)c1ccc(C)cc1)C(=O)N1CCC(CC1)C(=O)N[C@@H](CC(O)=O)C(O)=O,-6.863,Cc1ccc(S(=O)(=O)N[C@H](C(=O)N2CCC(C(=O)N[C@@H](CC(=O)O)C(=O)O)CC2)C(C)C)cc1
35,2500211,CC[C@H](C)[C@H](NS(=O)(=O)c1ccc(C)cc1)C(=O)N1CCC(CC1)C(=O)N[C@@H](C(C)C)C(O)=O,-6.899,CC[C@H](C)[C@H](NS(=O)(=O)c1ccc(C)cc1)C(=O)N1CCC(C(=O)N[C@H](C(=O)O)C(C)C)CC1
36,2504987,CCC(C)C(NS(=O)(=O)c1ccc(C)cc1)C(O)=O,-6.246,CCC(C)C(NS(=O)(=O)c1ccc(C)cc1)C(=O)O
37,2505192,Cc1ccc(cc1)S(=O)(=O)NC(Cc1ccccc1)C(O)=O,-3.961,Cc1ccc(S(=O)(=O)NC(Cc2ccccc2)C(=O)O)cc1
38,2504608,Cc1ccc(cc1)S(=O)(=O)NC(CC(N)=O)C(O)=O,-5.788,Cc1ccc(S(=O)(=O)NC(CC(N)=O)C(=O)O)cc1
39,2562000,NC(Cc1c[nH]c2ccccc12)C(O)=O,-6.204,NC(Cc1c[nH]c2ccccc12)C(=O)O
40,2509750,NC(Cc1c[nH]c2ccccc12)C(=O)Nc1ccccc1,-7.314,NC(Cc1c[nH]c2ccccc12)C(=O)Nc1ccccc1
41,2553750,OC(=O)CCC(=O)NC(Cc1c[nH]c2ccccc12)C(O)=O,-5.713,O=C(O)CCC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O
42,2511052,CC(=O)NC(Cc1c[nH]c2ccccc12)C(O)=O,-5.93,CC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O
43,2503579,Cc1ccc(cc1)S(=O)(=O)NC(Cc1c[nH]c2ccccc12)C(O)=O,-6.133,Cc1ccc(S(=O)(=O)NC(Cc2c[nH]c3ccccc23)C(=O)O)cc1
44,2527947,CN(C(=O)CNC(=O)NC(Cc1c[nH]c2ccccc12)C(O)=O)c1ccccc1,-7.515,CN(C(=O)CNC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O)c1ccccc1
45,2546763,OC(=O)C(Cc1c[nH]c2ccccc12)NCc1ccccc1F,-6.641,O=C(O)C(Cc1c[nH]c2ccccc12)NCc1ccccc1F
46,2510733,CC(Cc1ccccc1)NC(C)=O,-5.025,CC(=O)NC(C)Cc1ccccc1
47,2507494,CC(=O)N[C@@H](Cc1ccccc1)C(O)=O,-5.714,CC(=O)N[C@@H](Cc1ccccc1)C(=O)O
48,2507494,CC(=O)N[C@@H](Cc1ccccc1)C(O)=O,-5.647,CC(=O)N[C@@H](Cc1ccccc1)C(=O)O
49,2503771,CC(C)[C@H]1CC[C@@H](CC1)C(=O)N[C@H](Cc1ccccc1)C(O)=O,-5.699,CC(C)[C@H]1CC[C@H](C(=O)N[C@H](Cc2ccccc2)C(=O)O)CC1
50,2503771,CC(C)[C@H]1CC[C@@H](CC1)C(=O)N[C@H](Cc1ccccc1)C(O)=O,-5.43,CC(C)[C@H]1CC[C@H](C(=O)N[C@H](Cc2ccccc2)C(=O)O)CC1
51,2500234,Cc1ccc(cc1)S(=O)(=O)N1CCC(CC1)C(=O)N[C@@H](Cc1ccccc1)C(O)=O,-6.806,Cc1ccc(S(=O)(=O)N2CCC(C(=O)N[C@@H](Cc3ccccc3)C(=O)O)CC2)cc1
52,2501072,CC(C)[C@H](NC(=O)N1CC(=O)Nc2ccccc12)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(O)=O,-7.29,CC(C)[C@H](NC(=O)N1CC(=O)Nc2ccccc21)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)O
53,2502596,CC(C)[C@H](NC(=O)N1CC(=O)Nc2ccccc12)C(=O)N1CCC[C@@H]1C(O)=O,-6.901,CC(C)[C@H](NC(=O)N1CC(=O)Nc2ccccc21)C(=O)N1CCC[C@@H]1C(=O)O
54,2500881,CCCc1cc(=O)oc2cc(C)cc(OC(C)C(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(O)=O)c12,-7.448,CCCc1cc(=O)oc2cc(C)cc(OC(C)C(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)O)c12
55,2549277,CCSc1nnc(o1)[C@@H](N)Cc1c[nH]c2ccccc12,-5.83,CCSc1nnc([C@@H](N)Cc2c[nH]c3ccccc23)o1
56,2580867,COc1ccc(CNC23CC4CC(CC(C4)C2)C3)c2ccccc12,-5.998,COc1ccc(CNC23CC4CC(CC(C4)C2)C3)c2ccccc12
57,2582155,C(NC12CC3CC(CC(C3)C1)C2)c1c[nH]c2ccccc12,-6.021,c1ccc2c(CNC34CC5CC(CC(C5)C3)C4)c[nH]c2c1
58,2544764,C(N1CCN(Cc2c[nH]c3ccccc23)CC1)c1c[nH]c2ccccc12,-6.871,c1ccc2c(CN3CCN(Cc4c[nH]c5ccccc45)CC3)c[nH]c2c1
59,2544599,C(N1CCN(Cc2ccccc2)CC1)c1c[nH]c2ccccc12,-6.114,c1ccc(CN2CCN(Cc3c[nH]c4ccccc34)CC2)cc1
60,2546876,CC(C)N1CCN(Cc2c[nH]c3ccccc23)CC1,-5.525,CC(C)N1CCN(Cc2c[nH]c3ccccc23)CC1
61,2573538,NC1CCN(Cc2c[nH]c3ccccc23)CC1,-5.783,NC1CCN(Cc2c[nH]c3ccccc23)CC1
62,2518457,CCCNC(=O)C(=O)NCCc1c[nH]c2ccccc12,-6.423,CCCNC(=O)C(=O)NCCc1c[nH]c2ccccc12
63,2518182,Clc1cccc(c1)C(=O)NCCc1c[nH]c2ccccc12,-6.975,O=C(NCCc1c[nH]c2ccccc12)c1cccc(Cl)c1
64,2536193,CN(C)C(=O)C(NCCc1c[nH]c2ccccc12)c1ccccc1,-6.508,CN(C)C(=O)C(NCCc1c[nH]c2ccccc12)c1ccccc1
65,2501725,Cc1cc(C)nc(N\C(NCCc2c[nH]c3ccccc23)=N/C(=O)c2ccco2)n1,-6.381,Cc1cc(C)nc(N/C(=N\C(=O)c2ccco2)NCCc2c[nH]c3ccccc23)n1
66,2501543,CC(C)c1ccc(NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H]2Cc3ccccc3CN2)cc1,-7.94,CC(C)c1ccc(NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H]2Cc3ccccc3CN2)cc1
67,2500906,CC(Oc1ccc2c(cc(=O)oc2c1)-c1ccccc1)C(=O)NC(Cc1c[nH]c2ccc(O)cc12)C(O)=O,-7.388,CC(Oc1ccc2c(-c3ccccc3)cc(=O)oc2c1)C(=O)NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O
68,2570064,OC(=O)C(Cc1ccccc1)NC(=O)c1ccc(C(=O)NCC=C)c(c1)C(O)=O,-7.135,C=CCNC(=O)c1ccc(C(=O)NC(Cc2ccccc2)C(=O)O)cc1C(=O)O
69,2539752,O=C(CCc1c[nH]c2ccccc12)N1CCC(CC1)c1c[nH]c2ccccc12,-6.182,O=C(CCc1c[nH]c2ccccc12)N1CCC(c2c[nH]c3ccccc23)CC1
70,2509237,O=C(CCc1c[nH]c2ccccc12)N1CCN(CC1)S(=O)(=O)c1cccs1,-6.665,O=C(CCc1c[nH]c2ccccc12)N1CCN(S(=O)(=O)c2cccs2)CC1
71,2523968,CC(C)(C)NC(=O)CC1(CCCC1)C(=O)N1CCC(CC1)c1c[nH]c2ccccc12,-6.289,CC(C)(C)NC(=O)CC1(C(=O)N2CCC(c3c[nH]c4ccccc34)CC2)CCCC1
72,2525411,CN(C1CCCC1)C(=O)CCc1c[nH]c2ccccc12,-6.533,CN(C(=O)CCc1c[nH]c2ccccc12)C1CCCC1
73,2523214,Fc1ccc(cc1)C1CCCN1C(=O)CCc1c[nH]c2ccccc12,-6.112,O=C(CCc1c[nH]c2ccccc12)N1CCCC1c1ccc(F)cc1
74,2579463,NC(S)=NN=C(S)NCc1ccccc1,-5.185,NC(S)=NN=C(S)NCc1ccccc1
75,2566863,CC(C)(CN=C(S)NCc1ccccc1)CN=C(S)NCc1ccccc1,-5.067,CC(C)(CN=C(S)NCc1ccccc1)CN=C(S)NCc1ccccc1
76,2567439,CC1CCCC(C)N1N=C(S)NCc1ccccc1,-4.809,CC1CCCC(C)N1N=C(S)NCc1ccccc1
77,2561261,Cc1cc(F)ccc1N=C(S)NCc1ccccc1,-5.282,Cc1cc(F)ccc1N=C(S)NCc1ccccc1
78,2575068,Fc1ccc(CNC(=N)NCc2ccccc2)cc1,-4.973,N=C(NCc1ccccc1)NCc1ccc(F)cc1
79,2565052,NC(=N)NCc1ccc(F)cc1,-5.619,N=C(N)NCc1ccc(F)cc1
80,2503574,S=C(NCc1ccccc1)NCc1ccccc1,-4.52,S=C(NCc1ccccc1)NCc1ccccc1
81,2504958,COc1ccc(CNC(=S)NCc2ccc(OC)cc2)cc1,-4.221,COc1ccc(CNC(=S)NCc2ccc(OC)cc2)cc1
82,2575016,NC(=N)NCc1ccc(CN2CCCC2)cc1,-6.348,N=C(N)NCc1ccc(CN2CCCC2)cc1
83,2579578,Cc1ccc(CN2CCCC2)cc1,-5.373,Cc1ccc(CN2CCCC2)cc1
84,2577455,NCc1ccc(CN2CCCCCCC2)cc1,-4.808,NCc1ccc(CN2CCCCCCC2)cc1
85,2565863,Clc1cc(NC(=S)NCc2ccccc2)ccc1NC(=S)NCc1ccccc1,-5.882,S=C(NCc1ccccc1)Nc1ccc(NC(=S)NCc2ccccc2)c(Cl)c1
86,2564483,COc1ccc(CNCC(O)=O)cc1,-5.269,COc1ccc(CNCC(=O)O)cc1
87,2577621,N=C(NCCN1CCN(Cc2ccccc2)CC1)NCc1ccccc1,-6.323,N=C(NCCN1CCN(Cc2ccccc2)CC1)NCc1ccccc1
88,2576127,NC(=N)NCCN1CCN(Cc2ccccc2)CC1,-4.232,N=C(N)NCCN1CCN(Cc2ccccc2)CC1
89,2577097,CC(C)=CCN1CCN(Cc2ccccc2)CC1,-5.315,CC(C)=CCN1CCN(Cc2ccccc2)CC1
90,2577229,CCCN1CCN(CCO)CC1,-4.309,CCCN1CCN(CCO)CC1
91,2576891,CC(C)=CCN1CCN(CCO)CC1,-4.677,CC(C)=CCN1CCN(CCO)CC1
92,2562059,OC(=O)CCN1CCN(CCC(O)=O)CC1,-5.005,O=C(O)CCN1CCN(CCC(=O)O)CC1
93,2560542,OCCN1CCN(CCC(O)=O)CC1,-4.899,O=C(O)CCN1CCN(CCO)CC1
94,2573075,OC(=O)CCN1CCNCC1,-4.939,O=C(O)CCN1CCNCC1
95,2559401,CC1CCN(CCC(O)=O)CC1,-4.896,CC1CCN(CCC(=O)O)CC1
96,2560672,OC(=O)CCCC(=O)N1CCNCC1,-4.247,O=C(O)CCCC(=O)N1CCNCC1
97,2561262,OC(=O)CCCC(=O)N1CCN(CC1)C(=O)c1ccco1,-3.972,O=C(O)CCCC(=O)N1CCN(C(=O)c2ccco2)CC1
98,2565994,C\C(=N\NC(=S)NCc1ccccc1)c1ccc(cc1)-c1ccccc1,-7.594,C/C(=N/NC(=S)NCc1ccccc1)c1ccc(-c2ccccc2)cc1
99,2525336,Clc1snnc1CN1CCN(Cc2ccccc2)CC1,-5.877,Clc1snnc1CN1CCN(Cc2ccccc2)CC1
100,2573551,NC(=N)SCc1ccc(cc1)[N+]([O-])=O,-5.632,N=C(N)SCc1ccc([N+](=O)[O-])cc1
101,2560076,NC(=N)SCc1ccc(F)cc1,-5.523,N=C(N)SCc1ccc(F)cc1
102,2565255,CCC(C)NC(=O)NCc1ccccc1,-4.204,CCC(C)NC(=O)NCc1ccccc1
103,2561812,CCC(C)NC(=O)NCC=C,-4.388,C=CCNC(=O)NC(C)CC
104,2573273,CNS(=O)(=O)Cc1ccc(CNC(=O)NC(C)CO)cc1,-6.286,CNS(=O)(=O)Cc1ccc(CNC(=O)NC(C)CO)cc1
105,2572326,CC(C)C(NCc1ccccc1)C(O)=O,-4.956,CC(C)C(NCc1ccccc1)C(=O)O
106,2563337,OC(=O)CC(NCc1ccccc1)c1ccccc1,-6.281,O=C(O)CC(NCc1ccccc1)c1ccccc1
107,2581873,CC(C)C(NC\C=C\c1ccccc1)C(O)=O,-4.466,CC(C)C(NC/C=C/c1ccccc1)C(=O)O
108,2582253,CCn1c2ccccc2c2cc(CNCC3CCNCC3)ccc12,-6.62,CCn1c2ccccc2c2cc(CNCC3CCNCC3)ccc21
109,2563276,CCn1c2ccccc2c2cc(CNC34CC5CC(CC(C5)C3)C4)ccc12,-7.746,CCn1c2ccccc2c2cc(CNC34CC5CC(CC(C5)C3)C4)ccc21
110,2581337,CCn1c2ccccc2c2cc(CNCCc3c[nH]c4ccccc34)ccc12,-7.094,CCn1c2ccccc2c2cc(CNCCc3c[nH]c4ccccc34)ccc21
111,2543701,C(Cc1c[nH]c2ccccc12)NCc1ccc2ccccc2c1,-6.011,c1ccc2cc(CNCCc3c[nH]c4ccccc34)ccc2c1
112,2567518,COC(=O)CCC(=O)NCc1ccccc1,-3.604,COC(=O)CCC(=O)NCc1ccccc1
