,compound_id,smiles,docking_score,rdkit_smiles,VALUE_NUM_mean,VALUE_NUM_std,Perc_Var,Remove_BadDuplicate,rank,top_100
2625,ZINC000294614566,C/C=C/COc1cccc(CC(=O)NC2(C#N)CCC2)c1,-3.71051,C/C=C/COc1cccc(CC(=O)NC2(C#N)CCC2)c1,-3.71051,,-0.0,0,206.0,0
1979,ZINC000549795553,Cc1cccc(C)c1OCCNC(=O)[C@H](C)C(C)(F)F,-3.71759,Cc1cccc(C)c1OCCNC(=O)[C@H](C)C(C)(F)F,-3.71759,,-0.0,0,207.0,0
8183,ZINC000495175762,CCCN(C)C(=O)C1(CNC(=O)OC(C)(C)C)CCOCC1,-3.71902,CCCN(C)C(=O)C1(CNC(=O)OC(C)(C)C)CCOCC1,-3.71902,,-0.0,0,208.0,0
5708,ZINC000556859152,CCc1ccccc1OCCC(=O)NC[C@@](C)(O)COC,-3.72092,CCc1ccccc1OCCC(=O)NC[C@@](C)(O)COC,-3.72092,,-0.0,0,209.0,0
9123,ZINC000449274792,CCC[C@@H](O)CNC(=O)[C@]1(c2ccccc2)CCNC1,-3.72127,CCC[C@@H](O)CNC(=O)[C@]1(c2ccccc2)CCNC1,-3.72127,,-0.0,0,210.0,0
6937,ZINC000095096435,CCOc1ccccc1[C@H](OCC(=O)O)C(F)(F)F,-3.7263,CCOc1ccccc1[C@H](OCC(=O)O)C(F)(F)F,-3.7263,,-0.0,0,211.0,0
7386,ZINC000263129211,CC(C)Cc1cc(C(=O)N2CC[C@H](C)C[C@@H]2C(=O)O)cc(O)n1,-3.73099,CC(C)Cc1cc(C(=O)N2CC[C@H](C)C[C@@H]2C(=O)O)cc(O)n1,-3.73099,,-0.0,0,212.0,0
4466,ZINC000248440394,Cc1cccc(S(=O)(=O)N[C@@H]2C[C@@H](C)O[C@@H](C)C2)c1F,-3.731430000000001,Cc1cccc(S(=O)(=O)N[C@@H]2C[C@@H](C)O[C@@H](C)C2)c1F,-3.731430000000001,,-0.0,0,213.0,0
6936,ZINC000663130970,C[C@@H]1CC[C@H](NC(=O)[C@]2(C(=O)O)CC2(C)C)CS1(=O)=O,-3.74563,C[C@@H]1CC[C@H](NC(=O)[C@]2(C(=O)O)CC2(C)C)CS1(=O)=O,-3.74563,,-0.0,0,214.0,0
5581,ZINC000266555835,CCC(CC)(CNC(=O)NCc1cccn1C)SC,-3.74775,CCC(CC)(CNC(=O)NCc1cccn1C)SC,-3.74775,,-0.0,0,215.0,0
8482,ZINC000621499823,C=CCN(C(=O)N[C@@H](C(F)F)C1CCCCC1)[C@@H](C)COC,-3.75265,C=CCN(C(=O)N[C@@H](C(F)F)C1CCCCC1)[C@@H](C)COC,-3.75265,,-0.0,0,216.0,0
7711,ZINC000359388863,COCCN(c1nnc(-c2cccn2C)n1C[C@H]1CCCO1)C1CC1,-3.75295,COCCN(c1nnc(-c2cccn2C)n1C[C@H]1CCCO1)C1CC1,-3.75295,,-0.0,0,217.0,0
