,compound_id,smiles,docking_score,rdkit_smiles,VALUE_NUM_mean,VALUE_NUM_std,Perc_Var,Remove_BadDuplicate,rank,top_100
7011,ZINC000090810388,CC(C)[C@@H](O)C(C)(C)CN[C@@H](C)c1nccs1,-6.09243,CC(C)[C@@H](O)C(C)(C)CN[C@@H](C)c1nccs1,-6.09243,,-0.0,0,4229.0,0
8257,ZINC000531347013,CC1(C)CCN1C(=O)NCC1(N2CCSCC2)CCCCC1,-6.32816,CC1(C)CCN1C(=O)NCC1(N2CCSCC2)CCCCC1,-6.32816,,-0.0,0,5016.0,0
9912,ZINC000599198983,O=C1[C@@H](Nc2ccc([N+](=O)[O-])c3cnccc23)CCN1C1CCC1,-6.483169999999999,O=C1[C@@H](Nc2ccc([N+](=O)[O-])c3cnccc23)CCN1C1CCC1,-6.483169999999999,,-0.0,0,5535.0,0
3440,ZINC000083976978,Cc1cc(Cl)c(S(=O)(=O)N2CCNC(=O)C2)cc1[N+](=O)[O-],-4.88089,Cc1cc(Cl)c(S(=O)(=O)N2CCNC(=O)C2)cc1[N+](=O)[O-],-4.88089,,-0.0,0,1088.0,0
2847,ZINC000163300282,COc1c(Cl)cccc1NC(=O)N[C@H]1CCOC(C)(C)C1,-6.92052,COc1c(Cl)cccc1NC(=O)N[C@H]1CCOC(C)(C)C1,-6.92052,,-0.0,0,7045.0,0
8354,ZINC000598507094,COC(=O)[C@@H]1CCC[C@H](C(=O)N2C[C@@H](CC(F)(F)F)O[C@@H](C)C2)C1,-7.500780000000001,COC(=O)[C@@H]1CCC[C@H](C(=O)N2C[C@@H](CC(F)(F)F)O[C@@H](C)C2)C1,-7.500780000000001,,-0.0,0,8537.0,0
7184,ZINC000194030163,C=CCC[C@@H](NS(=O)(=O)[C@H](C)C(=O)N(C)C)c1ccccc1,-5.4160900000000005,C=CCC[C@@H](NS(=O)(=O)[C@H](C)C(=O)N(C)C)c1ccccc1,-5.4160900000000005,,-0.0,0,2195.0,0
7797,ZINC000413471140,C[C@@H](C(=O)N[C@@]1(C#N)CCC[C@@H](C)C1)N1[C@H](C)CC[C@H]1C,-5.952000000000001,C[C@@H]1CCC[C@](C#N)(NC(=O)[C@H](C)N2[C@H](C)CC[C@H]2C)C1,-5.952000000000001,,-0.0,0,3748.0,0
6596,ZINC000533124051,O=C(O)c1cc(/C=C\c2ccc(F)c(Br)c2)ncn1,-5.13496,O=C(O)c1cc(/C=C\c2ccc(F)c(Br)c2)ncn1,-5.13496,,-0.0,0,1546.0,0
6412,ZINC000344673125,Cc1nc(C(=O)N2CCC[C@H]2C[C@H](C)O)c(=O)[nH]c1C,-6.35044,Cc1nc(C(=O)N2CCC[C@H]2C[C@H](C)O)c(=O)[nH]c1C,-6.35044,,-0.0,0,5102.0,0
2556,ZINC000002073560,CCCCC(=O)Nc1cc(C(=O)OC)ccc1Cl,-5.916180000000001,CCCCC(=O)Nc1cc(C(=O)OC)ccc1Cl,-5.916180000000001,,-0.0,0,3635.0,0
5891,ZINC000336858595,CN(Cc1cc[nH]n1)Cc1nc2c([nH]1)n(C)c(=O)n(C)c2=O,-7.75667,CN(Cc1cc[nH]n1)Cc1nc2c(=O)n(C)c(=O)n(C)c2[nH]1,-7.75667,,-0.0,0,8983.0,0
3913,ZINC000125379049,CCCCn1ncc(C(=O)N[C@@H]2C[C@@H]2CCC)c1C,-2.48758,CCCCn1ncc(C(=O)N[C@@H]2C[C@@H]2CCC)c1C,-2.48758,,-0.0,0,19.0,1
4849,ZINC000297482397,CCC1(NC(=O)N[C@H]2CCO[C@H](c3cccnc3)C2)CC1,-6.62378,CCC1(NC(=O)N[C@H]2CCO[C@H](c3cccnc3)C2)CC1,-6.62378,,-0.0,0,6001.0,0
5784,ZINC000458692024,COc1cnccc1[C@H](C)NC(=O)N1CCN(CCO)C[C@H]1C,-6.42755,COc1cnccc1[C@H](C)NC(=O)N1CCN(CCO)C[C@H]1C,-6.42755,,-0.0,0,5351.0,0
9620,ZINC000348043491,CC[C@H](C)N(CCCS(=O)(=O)NC)Cc1ccccc1,-5.15546,CC[C@H](C)N(CCCS(=O)(=O)NC)Cc1ccccc1,-5.15546,,-0.0,0,1583.0,0
4758,ZINC000333711907,C[C@@H]1CCCCN1C(=O)CS(=O)(=O)c1ccc2c(c1)CCCC2,-5.13797,C[C@@H]1CCCCN1C(=O)CS(=O)(=O)c1ccc2c(c1)CCCC2,-5.13797,,-0.0,0,1549.0,0
8532,ZINC000637994684,Cc1ccccc1[C@@H](CC(C)C)NC(=O)C1=CC[C@@H](N)C1,-6.944210000000001,Cc1ccccc1[C@@H](CC(C)C)NC(=O)C1=CC[C@@H](N)C1,-6.944210000000001,,-0.0,0,7117.0,0
3458,ZINC000606782711,O=C(c1ccnc(N2CCCCC2)n1)N1CCOC[C@@H]1c1ccco1,-4.37308,O=C(c1ccnc(N2CCCCC2)n1)N1CCOC[C@@H]1c1ccco1,-4.37308,,-0.0,0,551.0,0
9435,ZINC000357094113,N#Cc1ncccc1OCc1cnn(-c2ccccc2)c1,-5.6340900000000005,N#Cc1ncccc1OCc1cnn(-c2ccccc2)c1,-5.6340900000000005,,-0.0,0,2747.0,0
6983,ZINC000004341305,C#CCSc1nc(-c2ccccc2C)nc2c1c(=O)n(C)c(=O)n2C,-6.71402,C#CCSc1nc(-c2ccccc2C)nc2c1c(=O)n(C)c(=O)n2C,-6.71402,,-0.0,0,6345.0,0
176,ZINC000519861577,Cc1cc(C)cc(OCC(=O)NCC2(C#N)CC2)c1,-6.38079,Cc1cc(C)cc(OCC(=O)NCC2(C#N)CC2)c1,-6.38079,,-0.0,0,5205.0,0
377,ZINC000114316892,C[C@H](CC1CCCC1)C(=O)NCc1cccnc1-n1ccnc1,-5.91581,C[C@H](CC1CCCC1)C(=O)NCc1cccnc1-n1ccnc1,-5.91581,,-0.0,0,3634.0,0
3768,ZINC000522888425,C[C@H](CCC(C)(C)C)NC(=O)c1ccccc1C(F)(F)F,-3.61204,C[C@H](CCC(C)(C)C)NC(=O)c1ccccc1C(F)(F)F,-3.61204,,-0.0,0,174.0,0
7272,ZINC000261611228,Cc1ccsc1S(=O)(=O)N1C[C@@H](CN)[C@H](c2ccccc2)C1,-6.447,Cc1ccsc1S(=O)(=O)N1C[C@@H](CN)[C@H](c2ccccc2)C1,-6.447,,-0.0,0,5423.0,0
9910,ZINC000341379819,CC[C@@H](NC(=O)c1cccn(C)c1=O)c1ccc(OC)c(OC)c1,-6.5014400000000006,CC[C@@H](NC(=O)c1cccn(C)c1=O)c1ccc(OC)c(OC)c1,-6.5014400000000006,,-0.0,0,5596.0,0
95,ZINC000273022182,Cc1nn(C)c(Cl)c1/C=C/C(=O)NC[C@H]1CC(=O)N(C2CC2)C1,-8.11914,Cc1nn(C)c(Cl)c1/C=C/C(=O)NC[C@H]1CC(=O)N(C2CC2)C1,-8.11914,,-0.0,0,9445.0,0
5682,ZINC000581291783,O=c1scnn1Cc1ccn(CC(F)(F)F)n1,-5.27526,O=c1scnn1Cc1ccn(CC(F)(F)F)n1,-5.27526,,-0.0,0,1848.0,0
1172,ZINC000049095107,CC(C)(C#N)C(=O)NCCOc1cccc(F)c1,-5.2626800000000005,CC(C)(C#N)C(=O)NCCOc1cccc(F)c1,-5.2626800000000005,,-0.0,0,1817.0,0
4023,ZINC000069323564,CCS(=O)(=O)NCCNC(=O)N[C@H](C)c1nc(C)cs1,-5.46221,CCS(=O)(=O)NCCNC(=O)N[C@H](C)c1nc(C)cs1,-5.46221,,-0.0,0,2298.0,0
518,ZINC000622251755,Cc1oc(-c2ccccc2)nc1CC(=O)N1CC(CC2CC2)C1,-5.88435,Cc1oc(-c2ccccc2)nc1CC(=O)N1CC(CC2CC2)C1,-5.88435,,-0.0,0,3517.0,0
8368,ZINC000599431151,N#CC1(C[C@@H](O)CN2CCC3(CCC(O)CC3)CC2)CCOCC1,-6.91792,N#CC1(C[C@@H](O)CN2CCC3(CCC(O)CC3)CC2)CCOCC1,-6.91792,,-0.0,0,7039.0,0
