ID smiles score
CPD002370208 Cc1cccc(CN2CCC(CNC(=O)c3cccc4C(=O)CCSc34)CC2)c1 -6.660
CPD002394545 COC(=O)c1ccc(COc2ccc3c(=O)c(c(C)oc3c2)c4ccc(OC)cc4)cc1 -5.402
CPD001632696 CCN(CC)CCNC(=O)c1ccc2nc(C)c(C)nc2c1 -4.910
CPD000009277 CCCCCn1c(SCCc2ccccc2)nc3n(C)c(=O)[nH]c(=O)c13 -4.303
CPD002376245 CCOc1ccc(NC(=O)C(C)Oc2ccc(F)cc2)c3cccnc13 -2.875
CPD002394546 CCOC(=O)COc1ccc2c(=O)c(c(C)oc2c1)c3ccc(Cl)cc3 -4.839
CPD001632699 CN(C)CCCNC(=O)c1ccc2nc(C)c(C)nc2c1 -5.068
CPD000009279 Cn1c(=O)[nH]c(=O)c2n(CC=C)c(SCc3ccc(Cl)cc3)nc12 -4.120
CPD002370209 Cc1ccc(CN2CCC(CNC(=O)c3cccc4C(=O)CCSc34)CC2)cc1 -6.479
CPD000594793 O=C(COC(=O)c1ccc(cc1)N2CCCC2=O)c3ccccc3 -2.961
CPD002373329 COc1ccc(NC(=O)C(N(Cc2ccco2)C(=O)Cc3cccs3)c4ccc(OC)cc4)cc1 -5.465
CPD002367214 CCc1cccc(c1)N2C(=O)CS(=O)(=O)C23C(=O)N(Cc4cccc(C)c4)c5ccccc35 -5.550
CPD000009323 O=C1NC(=C(C#N)C2(CCCC2)C1C#N)SCc3ccccc3 -5.076
CPD001632726 COc1cccc(NC(=O)N2CCC(CC2)N(C)C(C)C)c1 -2.909
CPD002376246 CCOc1ccc(NC(=O)Cc2cccc3ccccc23)c4cccnc14 -4.033
CPD000594794 CN(Cc1ccccc1)C(=O)c2cc3ccccc3nc2C -6.251
CPD000009422 Cc1ccc(cc1)c2nc(C#N)c(NCc3ccco3)o2 -5.035
CPD002370210 Clc1ccc(CN2CCC(CNC(=O)c3cccc4C(=O)CCSc34)CC2)cc1 -7.180
CPD001632727 CCOc1ccc(NC(=O)N2CCC(CC2)N(C)C(C)C)cc1 -4.651
CPD002394547 CN1CCN(CC1)c2nc3ccccc3nc2C(C#N)S(=O)(=O)c4ccc(NC(=O)C)cc4 -4.324
CPD000594822 CC(=O)Nc1ccc(NC(=O)c2cc(=O)c3ccccc3o2)cc1 -4.680
CPD002373330 COc1ccc(cc1)C(N(C)C(=O)Cc2cccs2)C(=O)Nc3ccc(cc3)C(C)C -6.076
CPD002376247 CCOc1ccc(NC(=O)COc2cc(C)cc(C)c2)c3cccnc13 -2.948
CPD002367215 Cc1ccc2N(Cc3ccc(F)cc3)C(=O)C4(N(C(=O)CS4(=O)=O)c5cc(C)cc(C)c5)c2c1 -4.644
CPD000009469 Brc1ccc(cc1)C(=O)CN2C3=NCCN3c4ccccc24.Br -3.457
CPD002370211 Cc1ccccc1CN2CCC(CNC(=O)c3cccc4C(=O)CCSc34)CC2 -6.940
CPD002394548 O=C(Cc1ccc(cc1)c2ccccc2)NCCc3c[nH]c4ccccc34 -2.026
CPD001632735 O=C(NCCCN1CCCCC1)c2cc(nc3ccccc23)c4ccncc4 -6.565
CPD000594865 COc1ccccc1CNC(=O)c2cc(C)nc3ccccc23 -6.599
CPD002376248 CCOc1ccc(NC(=O)COc2ccc(C)c(C)c2)c3cccnc13 -2.662
CPD000009494 CCCSc1nc2n(C)c(=O)[nH]c(=O)c2n1CCc3ccccc3 -3.483
CPD002367216 CCOC(=O)c1c(C)n(C)c(C)c1S(=O)(=O)Nc2ccc(OC)cc2OC -3.646
CPD002394549 CC1CCC(CC1)NC(=O)COC(=O)c2cccc3c(=O)c(C)c(oc23)c4ccccc4 -6.547
CPD002373331 CCC(C)(N(C(=O)CNC(=O)c1ccccc1)c2ccc(C)cc2)C(=O)NC3CCCC3 -1.538
CPD001632742 O=C(NC1CC1)c2cc(nc3ccccc23)c4cccnc4 -5.119
CPD000594897 COc1ccc(NC(=O)CCc2ccc(OC)c(OC)c2)cn1 -4.988
CPD000009495 CC(C)Sc1nc2n(C)c(=O)[nH]c(=O)c2n1CCc3ccccc3 -3.979
CPD002376249 CCOc1ccc(NC(=O)C(C)Oc2ccccc2Cl)c3cccnc13 -3.332
CPD002370212 Fc1ccc(CN2CCC(CNC(=O)c3cccc4C(=O)CCSc34)CC2)cc1 -6.835
CPD002367217 CCOC(=O)c1c(C)n(C)c(C)c1S(=O)(=O)Nc2cc(Cl)c(OC)cc2OC -3.909
CPD002394550 O=C(COC(=O)c1ccccc1NC(=O)c2ccco2)N3CCCC3=O -3.414
CPD000594915 Cc1ccc2c(CN3CCC(CC3)C(=O)N)cc(=O)oc2c1C -3.976
CPD001632743 CCOc1ccc(cc1)c2cc(C(=O)NC(C)C)c3ccccc3n2 -4.718
CPD000009496 CC(C)CSc1nc2n(C)c(=O)[nH]c(=O)c2n1CCc3ccccc3 -3.703
CPD002376250 CCOc1ccc(NC(=O)C(C)C)c2cccnc12 -3.777
CPD002373332 CCC(C)(N(Cc1cccs1)C(=O)CNC(=O)c2ccccc2)C(=O)NC3CCCCC3 -1.879
CPD002367218 CCCN(CCC)S(=O)(=O)c1c(C)n(C)c(C)c1C(=O)OCC -2.689
CPD002370213 Fc1cccc(CN2CCC(CNC(=O)c3cccc4C(=O)CCSc34)CC2)c1 -5.071
CPD002376251 CCOc1ccc(NC(=O)CC(C)C)c2cccnc12 -3.580
CPD001632744 CCOc1ccc(cc1)c2cc(C(=O)NCC=C)c3ccccc3n2 -4.818
CPD002394551 Cc1ccc(o1)c2cc(C(=O)OCC(=O)NC(=O)C3CCCCC3)c4ccccc4n2 -3.999
CPD000009497 CCC(C)Sc1nc2n(C)c(=O)[nH]c(=O)c2n1CCc3ccccc3 -4.044
CPD000594982 Cc1onc(c1C(=O)N2CCN(CC2)S(=O)(=O)c3ccc(Cl)cc3)c4ccccc4 -5.596
CPD002376252 CCCCC(=O)Nc1ccc(OCC)c2ncccc12 -4.818
CPD001632763 COCCCNC(=O)c1cc(nc2ccccc12)c3ccc(C)c(C)c3 -5.131
CPD002373333 CCC(C)(N(C(=O)CNC(=O)c1ccccc1)c2ccccc2)C(=O)NC3CCCCC3 -1.867
CPD000009498 CCSc1nc2n(C)c(=O)n(C)c(=O)c2n1Cc3ccc(Cl)cc3 -4.445
CPD002370214 COc1cccc(NC(=O)CN2C=Nc3onc(c4ccccc4F)c3C2=O)c1 -5.840
CPD002367219 CCOC(=O)c1c(C)n(C)c(C)c1S(=O)(=O)Nc2cc(OC)ccc2OC -4.820
CPD000595044 COc1ccc(CC(=O)NC(c2ccccc2)c3ccc(C)cc3)c(OC)c1 -6.360
