,compound_id,smiles,docking_score,rdkit_smiles,VALUE_NUM_mean,VALUE_NUM_std,Perc_Var,Remove_BadDuplicate,rank
618,ZINC000194100533,C[C@@H](Cc1cccs1)NC(=O)C(=O)c1ccccc1,-6.6123,C[C@@H](Cc1cccs1)NC(=O)C(=O)c1ccccc1,-6.6123,,-0.0,0,5957.0
9473,ZINC000344230512,CCOc1ccccc1NC(=O)c1ccn(-c2cccc(C#N)c2)n1,-8.077010000000001,CCOc1ccccc1NC(=O)c1ccn(-c2cccc(C#N)c2)n1,-8.077010000000001,,-0.0,0,9406.0
324,ZINC000412351134,Cn1[nH]c(=NC(=O)[C@@]2(C)C[C@@H]2c2ccccc2)cc1C1CC1,-6.7414,Cn1[nH]c(=NC(=O)[C@@]2(C)C[C@@H]2c2ccccc2)cc1C1CC1,-6.7414,,-0.0,0,6452.0
3483,ZINC000130325711,COc1cc(C)sc1C(=O)N(C)CCN1C(=O)c2ccccc2C1=O,-7.4139,COc1cc(C)sc1C(=O)N(C)CCN1C(=O)c2ccccc2C1=O,-7.4139,,-0.0,0,8356.0
1134,ZINC000681904092,COCc1nc(C)c(C(=O)N(C)C[C@@H]2CCn3ccnc3C2)s1,-5.97842,COCc1nc(C)c(C(=O)N(C)C[C@@H]2CCn3ccnc3C2)s1,-5.97842,,-0.0,0,3830.0
2035,ZINC000436725749,O=C(NCc1c(F)cccc1OC(F)F)c1ccccc1O,-6.60474,O=C(NCc1c(F)cccc1OC(F)F)c1ccccc1O,-6.60474,,-0.0,0,5926.0
5184,ZINC000287730827,Cc1ccc(C)c(NC(=O)C(=O)N2C[C@H](F)C[C@H]2C(N)=O)c1,-6.08144,Cc1ccc(C)c(NC(=O)C(=O)N2C[C@H](F)C[C@H]2C(N)=O)c1,-6.08144,,-0.0,0,4194.0
1774,ZINC000347931012,Cc1cc(S(N)(=O)=O)cc(NC(=O)C(=O)N(C)CC(F)F)c1C,-6.07977,Cc1cc(S(N)(=O)=O)cc(NC(=O)C(=O)N(C)CC(F)F)c1C,-6.07977,,-0.0,0,4188.0
5619,ZINC000265523074,C[C@@H]1CN(c2ccc(NC(=O)C(=O)N(CCO)C3CC3)cc2)CCO1,-6.7050600000000005,C[C@@H]1CN(c2ccc(NC(=O)C(=O)N(CCO)C3CC3)cc2)CCO1,-6.7050600000000005,,-0.0,0,6305.0
3927,ZINC000288736974,CC(C)S(=O)(=O)CCNC(=O)Nc1cccc(CC(F)(F)F)c1,-7.4919,CC(C)S(=O)(=O)CCNC(=O)Nc1cccc(CC(F)(F)F)c1,-7.4919,,-0.0,0,8520.0
