,Unnamed: 0,ID,SMILES,score,rdkit_smiles,VALUE_NUM_mean,VALUE_NUM_std,Perc_Var,Remove_BadDuplicate
18263,18264,CPD002395496,CCN(CC)S(=O)(=O)c1ccc2NCCc2c1,-5.75,CCN(CC)S(=O)(=O)c1ccc2c(c1)CCN2,-5.75,,-0.0,0
3539,3540,CPD002394009,FC(F)(F)c1cccc(NC(=O)c2nn(c3ccccc3)c(=O)c4ccccc24)c1,-7.563,O=C(Nc1cccc(C(F)(F)F)c1)c1nn(-c2ccccc2)c(=O)c2ccccc12,-7.563,,-0.0,0
44115,44116,CPD000123257,Cc1ccc(C2SCc3cc(C)c(C)cc3CS2)c(O)c1,-4.955,Cc1ccc(C2SCc3cc(C)c(C)cc3CS2)c(O)c1,-4.955,,-0.0,0
39174,39175,CPD002396400,CCN(CC(=O)N1C(COc2ccccc12)c3ccccc3)CC4=Nc5ccccc5C(=O)N4,-5.086,CCN(CC(=O)N1c2ccccc2OCC1c1ccccc1)Cc1nc2ccccc2c(=O)[nH]1,-5.086,,-0.0,0
19416,19417,CPD002433021,CN(C)CCNCc1ccc(cc1)C(F)(F)F,-5.702,CN(C)CCNCc1ccc(C(F)(F)F)cc1,-5.702,,-0.0,0
65778,65779,CPD002489724,OCCNc1nc(c2ccco2)c3CCCCc3c1C#N,-4.357,N#Cc1c(NCCO)nc(-c2ccco2)c2c1CCCC2,-4.357,,-0.0,0
30506,30507,CPD002398378,Cc1ccccc1OCC(=O)Nc2cc(ccc2N3CCOCC3)C(F)(F)F,-5.322,Cc1ccccc1OCC(=O)Nc1cc(C(F)(F)F)ccc1N1CCOCC1,-5.322,,-0.0,0
7301,7302,CPD000515096,COc1ccc(cc1)C2N(C(=O)C(=C2C(=O)C)O)c3ccc(C)cc3,-6.524,COc1ccc(C2C(C(C)=O)=C(O)C(=O)N2c2ccc(C)cc2)cc1,-6.524,,-0.0,0
13748,13749,CPD002403400,CCN(CC)c1ccc(cc1)c2oc(SCCS(=O)(=O)c3ccc(Cl)cc3)nn2,-5.968,CCN(CC)c1ccc(-c2nnc(SCCS(=O)(=O)c3ccc(Cl)cc3)o2)cc1,-5.968,,-0.0,0
73419,73420,CPD002430481,CC(C)(C)NC(=O)CCc1ccc(cc1)C#N,-4.043,CC(C)(C)NC(=O)CCc1ccc(C#N)cc1,-4.043,,-0.0,0
46998,46999,CPD002418178,CSc1ccc(NC(=O)\C=C\c2cccs2)cc1,-4.884,CSc1ccc(NC(=O)/C=C/c2cccs2)cc1,-4.884,,-0.0,0
24080,24081,CPD002488846,Clc1ccc(CN(C(=O)C2=C(c3ccccc3)S(=O)(=O)CCO2)c4ccccn4)cc1,-5.528,O=C(C1=C(c2ccccc2)S(=O)(=O)CCO1)N(Cc1ccc(Cl)cc1)c1ccccn1,-5.528,,-0.0,0
35312,35313,CPD002438003,CCN(CC)CCN1C(C(=C(O)C1=O)C(=O)c2ccc(OCc3cccc(C)c3)cc2)c4cccnc4,-5.187,CCN(CC)CCN1C(=O)C(O)=C(C(=O)c2ccc(OCc3cccc(C)c3)cc2)C1c1cccnc1,-5.187,,-0.0,0
23306,23307,CPD002405717,CCOc1ccc(cc1)C(C)NC(=O)C2=NNC(=O)c3ccccc23,-5.555,CCOc1ccc(C(C)NC(=O)c2n[nH]c(=O)c3ccccc23)cc1,-5.555,,-0.0,0
38296,38297,CPD000173733,CC(=O)NC(Cc1cccc(C)c1)C(=O)NC2CCN(CC2)c3ncccc3[N+](=O)[O-],-5.109,CC(=O)NC(Cc1cccc(C)c1)C(=O)NC1CCN(c2ncccc2[N+](=O)[O-])CC1,-5.109,,-0.0,0
1010,1010,CPD000839949,OC(=O)c1csc2c1sc3ccccc23,-8.714,O=C(O)c1csc2c1sc1ccccc12,-8.714,,-0.0,0
21861,21862,CPD002366073,Cc1ccc(CCNC(=O)CCS(=O)(=O)c2ccc3SCC(=O)Nc3c2)cc1,-5.609,Cc1ccc(CCNC(=O)CCS(=O)(=O)c2ccc3c(c2)NC(=O)CS3)cc1,-5.609,,-0.0,0
20023,20024,CPD000622555,COc1ccc(CNC(=O)C2CCN(CC2)S(=O)(=O)c3cccc4nsnc34)cc1,-5.677,COc1ccc(CNC(=O)C2CCN(S(=O)(=O)c3cccc4nsnc34)CC2)cc1,-5.677,,-0.0,0
10025,10026,CPD001933085,Clc1ccc(Cl)c(c1)C(=O)NCc2coc(n2)c3cccs3,-6.227,O=C(NCc1coc(-c2cccs2)n1)c1cc(Cl)ccc1Cl,-6.227,,-0.0,0
