,ID,SMILES,score,rdkit_smiles,VALUE_NUM_mean,VALUE_NUM_std,Perc_Var,Remove_BadDuplicate
2209,CPD002489195,CN(C)C(=O)CN1CCN(CC1)C(C(=O)O)c2cn(C)c3cc(ccc23)C(=O)O,-9.208,CN(C)C(=O)CN1CCN(C(C(=O)O)c2cn(C)c3cc(C(=O)O)ccc23)CC1,-9.208,,-0.0,0
2210,CPD002416399,COc1cc(ccc1OCC(=O)O)C(=O)/C=C/c2cccs2,-9.205,COc1cc(C(=O)/C=C/c2cccs2)ccc1OCC(=O)O,-9.205,,-0.0,0
2211,CPD002455606,Cc1ccc(Cn2c(SCC(=O)O)nc3n(C)c(=O)[nH]c(=O)c23)cc1,-9.205,Cc1ccc(Cn2c(SCC(=O)O)nc3c2c(=O)[nH]c(=O)n3C)cc1,-9.205,,-0.0,0
2212,CPD002435101,COc1ccc(cc1OC)c2c(C)oc3cc(OC(C)C(=O)O)ccc3c2=O,-9.205,COc1ccc(-c2c(C)oc3cc(OC(C)C(=O)O)ccc3c2=O)cc1OC,-9.205,,-0.0,0
2213,CPD002443790,CC(C)CC(=O)Nc1ccc(cc1)C(=O)Nc2ccc(CCC(=O)O)cc2,-9.204,CC(C)CC(=O)Nc1ccc(C(=O)Nc2ccc(CCC(=O)O)cc2)cc1,-9.204,,-0.0,0
2214,CPD002440244,OC(=O)c1cccc(NC(=O)c2ccco2)c1O,-9.201,O=C(Nc1cccc(C(=O)O)c1O)c1ccco1,-9.201,,-0.0,0
2215,CPD000650353,C[C@H](NC(=O)[C@H](Cc1ccccc1)n2c(=O)[nH]c3ccccc3c2=O)C(=O)N4CCC[C@H]4C(=O)O,-9.2,C[C@H](NC(=O)[C@H](Cc1ccccc1)n1c(=O)[nH]c2ccccc2c1=O)C(=O)N1CCC[C@H]1C(=O)O,-9.2,,-0.0,0
2216,CPD000650529,CC(C)[C@H](NC(=O)[C@H](Cc1ccccc1)n2c(=O)[nH]c3ccccc3c2=O)C(=O)N4CCC[C@@H]4C(=O)O,-9.199,CC(C)[C@H](NC(=O)[C@H](Cc1ccccc1)n1c(=O)[nH]c2ccccc2c1=O)C(=O)N1CCC[C@@H]1C(=O)O,-9.199,,-0.0,0
2217,CPD000469221,OC(=O)CCNC(=O)c1ccc(N=Nc2ccc(O)c(c2)C(=O)O)cc1,-9.194,O=C(O)CCNC(=O)c1ccc(N=Nc2ccc(O)c(C(=O)O)c2)cc1,-9.194,,-0.0,0
2218,CPD001382556,OC(=O)CC(CC(=O)O)c1ccccn1,-9.192,O=C(O)CC(CC(=O)O)c1ccccn1,-9.192,,-0.0,0
2219,CPD002366180,Cc1ccc(cc1)C2CC(=O)N(CCCCCC(=O)O)C(=O)C2,-9.19,Cc1ccc(C2CC(=O)N(CCCCCC(=O)O)C(=O)C2)cc1,-9.19,,-0.0,0
2220,CPD002489346,OC(=O)CNC(=O)Cn1ccc2ccc(OCc3ccccc3)cc12,-9.189,O=C(O)CNC(=O)Cn1ccc2ccc(OCc3ccccc3)cc21,-9.189,,-0.0,0
2221,CPD000314262,COc1ccc(cc1)n2c(COc3ccc4OCOc4c3)nnc2SCC(=O)O,-9.187,COc1ccc(-n2c(COc3ccc4c(c3)OCO4)nnc2SCC(=O)O)cc1,-9.187,,-0.0,0
2222,CPD002417994,COc1ccc(cc1F)C(=O)\C=C\c2ccc(OCC(=O)O)c(OC)c2,-9.187,COc1ccc(C(=O)/C=C/c2ccc(OCC(=O)O)c(OC)c2)cc1F,-9.187,,-0.0,0
2223,CPD002438337,OC(=O)c1csc(n1)c2cnccn2,-9.186,O=C(O)c1csc(-c2cnccn2)n1,-9.186,,-0.0,0
2224,CPD000650364,CCC(NC(=O)Cc1c(C)c2ccc(OC)c(C)c2oc1=O)C(=O)NC(Cc3ccc(Cl)cc3)C(=O)O,-9.185,CCC(NC(=O)Cc1c(C)c2ccc(OC)c(C)c2oc1=O)C(=O)NC(Cc1ccc(Cl)cc1)C(=O)O,-9.185,,-0.0,0
2225,CPD002366485,OC(=O)c1ccc(Sc2ccccc2C(=O)O)c(c1)[N+](=O)[O-],-9.182,O=C(O)c1ccc(Sc2ccccc2C(=O)O)c([N+](=O)[O-])c1,-9.182,,-0.0,0
2226,CPD002415923,Cc1cc(C(=O)CCC(=O)O)c(C)s1,-9.181,Cc1cc(C(=O)CCC(=O)O)c(C)s1,-9.181,,-0.0,0
2227,CPD002488943,CC(=O)N1CCN(CC1)C(C(=O)O)c2cn(CC(=O)O)c3ccccc23,-9.18,CC(=O)N1CCN(C(C(=O)O)c2cn(CC(=O)O)c3ccccc23)CC1,-9.18,,-0.0,0
2228,CPD002416470,COc1ccc(cc1CSCC(=O)O)C(=O)/C=C/c2ccc(Br)cc2,-9.18,COc1ccc(C(=O)/C=C/c2ccc(Br)cc2)cc1CSCC(=O)O,-9.18,,-0.0,0
